sku,shopify_collection,enriched_title,variant_1_name,variant_1_value,variant_2_name,variant_2_value,enrichment_comments
520-160-025,,UNOLUX BCS COMPOSITE A3,,,,,[INFERRED]
520-160-009,,BRILL.FLOW NG ENAMEL A1/B1 2.3G,,,,,[INFERRED]
520-160-006,,BRILL.FLOW A2/B2 2.3G,,,,,[INFERRED]
520-160-007,,BRILL.FLOW A3.5/B3 2.3G,,,,,[INFERRED]
520-160-026,,UNOLUX BCS FLOW COMP A2,,,,,[INFERRED]
520-160-023,,UNOLUX BCS COMPOSITE A1,,,,,[INFERRED]
520-160-024,,UNOLUX BCS COMPOSITE A2,,,,,[INFERRED]
520-160-011,,BRILL.NG ENAMEL C2/C3 4G,,,,,[INFERRED]
520-160-010,,BRILL.NG ENAMEL A2/B2 4G,,,,,[INFERRED]
260-200-004,,MICRO APPLICATOR TIPS,,,,,[INFERRED]
280-170-003,,OPTIGUARD REFILL,,,,,[INFERRED]
200-110-025,,EVA BAGS,,,,,[INFERRED]
520-140-003,,ONE COAT 7.0 REF,,,,,[INFERRED]
520-140-004,,UNI. BOND INTRO KIT TOKUYAMA,,,,,[INFERRED]
520-160-029,,TOKUYAMA PLASTIC DISPENS. TIPS,,,,,[INFERRED]
180-120-001,,NITE WHITE ACP 22%,,,,,[INFERRED]
180-130-001,,ZOOM KIT (for 2 Patients),,,,,[INFERRED]
180-130-002,,ZOOM KIT (for 2 patients) with TOUCH-UP,,,,,[INFERRED]
180-110-001,,ZOOM PROTECTIVE EYEWEAR,,,,,[INFERRED]
180-110-002,,ZOOM ADVANCE POWER LAMP-W/S,,,,,[INFERRED]
520-190-015,,CROWN FORMS ANTERIOR SET-TDV,,,,,[INFERRED]
520-190-016,,CROWN FORMS POSTERIOR SET-TDV,,,,,[INFERRED]
340-140-001,,IWANSON CALIPER,,,,,[INFERRED]
520-190-014,,CROWN FORM REFILL-PELLA #171,,,,,[INFERRED]
520-190-009,,CROWN FORM REFILL #2 L&R,,,,,[INFERRED]
520-190-013,,CROWN FORM REFILL #5 L&R,,,,,[INFERRED]
520-190-011,,CROWN FORM REFILL #23 L&R,,,,,[INFERRED]
520-190-012,,CROWN FORM REFILL #33 L&R,,,,,[INFERRED]
520-190-010,,CROWN FORM REFILL #203 L&R,,,,,[INFERRED]
520-190-029,,RETRACTION CORD - STAY PUT 0 X,,,,,[INFERRED]
520-190-030,,RETRACTION CORD - STAY PUT 1,,,,,[INFERRED]
520-190-031,,RETRACTION CORD - STAY PUT 2,,,,,[INFERRED]
520-190-032,,RETRACTION CORD - STAY PUT 3,,,,,[INFERRED]
520-190-003,,CROWN FORM REFILL #1 L&R,,,,,[INFERRED]
520-190-005,,CROWN FORM REFILL #11 L&R,,,,,[INFERRED]
520-190-001,,CROWN FORM REFIL #111 L&R,,,,,[INFERRED]
520-190-007,,CROWN FORM REFILL #161 L&R,,,,,[INFERRED]
200-190-002,,CROSSTEX BIBS - BLUE,,,,,[INFERRED]
200-190-003,,CROSSTEX BIBS - LAVENDER,,,,,[INFERRED]
200-190-004,,CROSSTEX BIBS - PEACH 500PK,,,,,[INFERRED]
200-190-005,,CROSSTEX BIBS - YELLOW 500PK,,,,,[INFERRED]
200-190-010,,PLASDENT BIBS 2-PLY PINK,,,,,[INFERRED]
200-190-011,,PLASDENT BIBS 2-PLY YELLOW,,,,,[INFERRED]
200-190-007,,PLASDENT BIBS 2-PLY GREEN,,,,,[INFERRED]
200-170-020,,UNODENT NITRISOFT NITRILE EXAMINATION GLOVES BLUE SMALL (200 PK),,,,,[INFERRED]
200-170-019,,UNODENT LATEX GLOVES SMALL,,,,,[INFERRED]
200-170-003,,BRIGHTWAY POWDER-FREE NITRILE,,,,,[INFERRED]
200-170-004,,GLOVES NITRILE UTILITY - SIZE7,,,,,[INFERRED]
200-170-015,,UNBEATABLE NITRILE GLOVES- L,,,,,[INFERRED]
200-170-013,,MEDITRADE GENTLE SKIN COMPACT + LATEX GLOVES POWDER FREE SMALL (100/BOX),,,,,[INFERRED]
200-170-012,,MEDITRADE GENTLE SKIN COMPACT + LATEX GLOVES POWDER FREE MEDIUM (100/BOX),,,,,[INFERRED]
200-170-010,,MEDITRADE GENTLE SKIN COMPACT + LATEX GLOVES POWDER FREE LARGE (100/BOX),,,,,[INFERRED]
200-170-016,,UNICARE NITRILE WHITE (MEDIUM),,,,,[INFERRED]
200-170-005,,GLOVES NITRILE UTILITY - SIZE8,,,,,[INFERRED]
200-170-006,,GLOVES NITRILE UTILITY - SIZE9,,,,,[INFERRED]
200-170-009,,GLOVES-LARGE-BLOSSOM/POWDER FREE,,,,,[INFERRED]
200-170-008,,GLOVES NITRILE UTILITY -SIZE10,,,,,[INFERRED]
360-110-001,,CAN LINER - LARGE,,,,,[INFERRED]
360-110-003,,CAN LINER -SMALL,,,,,[INFERRED]
200-120-001,,COTTON ROLL -ROEKO,,,,,[INFERRED]
200-200-001,,DISPO TRAY LINERS (50PK),,,,,[INFERRED]
